clip_id,minADE,parquet_index
8ce98ad9-d003-4012-9b6b-4d9c26ac4fa5,3.015029,80
95b9cc6f-999b-493b-a3d1-142aef23eefa,4.7141647,81
aaf480b9-3595-4782-b3e3-94638a2f3511,3.8050635,82
c474ad22-e96b-4641-81a4-1409e48e012b,2.3211315,83
ce05c22f-5bf8-4302-a89c-49275a93168b,3.1031187,84
d1a20a67-a316-4b88-8757-65fece448ec6,5.1652226,85
d7b0c66d-29a7-4035-a900-2705f6f47976,7.4528947,86
e15f2ef5-fc2b-4a2c-9150-607dc9445d05,3.4710674,87
ed7a5093-c76c-47f7-ab87-091a1d4e4382,3.1747284,88
f8da1e14-58b8-44dd-8625-9d46b3ab53f0,1.5781832,89
00ee8960-68ca-4233-a507-e1964a1b165f,0.90377736,90
0145f6e0-7ca2-4e60-aba8-9b5b04a3508a,1.077142,91
021a4585-2ac1-43bd-8f69-6df36fb03c91,0.2915638,92
0338f722-d9d3-422c-b08c-d02ee33458f2,0.015167101,93
03f185f4-0864-401d-a740-494c6c9763d1,0.0054043047,94
08632342-3de9-406e-91e3-c77d1de295ea,0.3340189,95
094b6eb7-5202-4ace-bace-9f2a2602ba4f,1.8707778,96
09db0cef-6cbf-48b9-843e-abd028475a51,0.45077795,97
0c3545c8-33ad-494d-85d5-7fea5ad55032,0.21429943,98
0cf01ed1-762c-45fa-9f5b-f2225642a95a,1.5794876,99
0fc8cf3b-0a71-4888-8ecf-0575b6ff28f9,1.0673205,100
102825be-e987-4b7e-969d-1d7d05c5cd69,4.631958,101
119ae2ea-5b37-439e-9d9c-ac5b4d731b90,0.1312692,102
132617db-0ee4-4dd2-8d40-8a42ef654031,0.002816149,103
14cafa62-e6da-47ae-a524-1defd022b222,1.2559954,104
1616b6b6-ec44-48c9-b0dc-3e2b02a9b369,0.95083153,105
16907266-5997-470f-9d1c-62a3c1a12995,0.27474707,106
1732dd19-d9c0-4aa8-a9a0-02b9d5980bb6,0.71857345,107
181826e2-9d13-4eaf-b1e4-618ce607ded9,0.98842597,108
19491abf-521c-43d1-90a1-60e30b0116de,0.47187912,109
19863b3f-ae56-45ab-9791-54350ca46479,1.1284955,110
1a451723-d5d4-4b45-803d-bde5ed5c8f5c,0.699561,111
1ac4676d-8fc1-4b8d-a27e-36b40e32c5b8,0.5077632,112
1c12ea62-c951-4190-80cb-e75203dfbebd,3.440381,113
1d49e6ad-e30e-4f83-8cb2-e2427c85917b,0.9450202,114
1d782ead-24a2-4a1c-8ad7-920172aea1b4,0.03453174,115
1e468fcd-ca25-46dc-b398-65c083bb23e4,0.5491743,116
1efb1dc1-e142-474d-addb-6adce507f75d,0.21932687,117
1f2e312c-3bd0-4086-8e47-6e32fce45e77,2.5470734,118
1f691468-4e21-486e-836a-3b6e292f6a14,0.59195936,119
1fb5c984-9064-4556-be3c-ca788f25cd0e,0.9167534,120
2052a5c8-527c-4c02-8eb1-56f56b4e5d5b,2.1312876,121
237766ed-c4da-4a5b-982f-1c29f9194e61,0.0066908402,122
25875fcb-b2bd-46c1-87a2-dfb461089072,5.5565314,123
283f4e9b-57e9-4947-bebe-21e1edfa4f51,1.5918199,124
297e1808-a7cb-4672-82c5-ff4f2d1d3df4,1.6606712,125
2a97a2f6-b39f-4854-83ee-0ba5c64ed4ac,1.930445,126
2b04ea69-505b-4aad-9882-3ac6109a54d5,2.0199363,127
2e22745a-b2cf-4a0f-86c2-600729cd2ad8,0.58486366,128
2eca19a4-4715-4a41-9f6e-1ddaeddf45bc,4.000168,129
2fbee44e-d13a-4a47-ab4f-a17b7f96602e,1.2314923,130
3215cd4f-4afd-4a18-a39f-75b2275967ff,0.105277516,131
32767ade-b8b4-490b-9a7b-e689b9e61bea,1.5338693,132
338500d9-3866-476e-a6ed-4a87b0afb107,1.7956346,133
33895af1-e111-432d-a5b7-2b542e1fdb8f,0.002401852,134
365b0c5a-e10a-4e13-9ca6-d3917fb1f241,1.2539018,135
374d5040-4fcd-4801-9aa5-73a2379b485f,2.7296202,136
3acb96b8-10e1-4e34-86e1-129b17e938b9,5.4115105,137
